epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,237.162,0.88401,0.99646,1.0476,0.89539,0.92308,0.97251,0.7831,0.75986,0.71869,0.93487,0.000990365,0.000990365,0.000990365
43,242.252,0.84016,1.03873,1.0426,0.94207,0.86147,0.97544,0.77579,0.79138,0.81238,0.95469,0.000973861,0.000973861,0.000973861
44,247.206,0.88134,1.02459,0.99609,0.81466,0.94192,0.94624,0.76417,0.77622,0.76101,0.97109,0.000957358,0.000957358,0.000957358
45,253.579,0.8527,1.06249,0.95149,0.86113,0.91688,0.9331,0.73633,0.77789,0.83879,0.95049,0.000940855,0.000940855,0.000940855
46,258.487,0.80036,0.93794,0.95556,0.92553,0.81197,0.92645,0.73165,0.78512,0.81999,0.93626,0.000924352,0.000924352,0.000924352
47,264.351,0.90393,0.89415,1.02619,0.96387,0.80205,0.95894,0.77822,0.74142,0.67437,0.9465,0.000907848,0.000907848,0.000907848
48,269.983,0.91336,0.84907,0.99978,0.92515,0.93204,0.98483,0.80043,0.7978,0.64555,0.95747,0.000891345,0.000891345,0.000891345
49,274.827,0.807,0.87694,0.99631,0.94375,0.96564,0.98429,0.78515,0.85801,0.64183,0.96532,0.000874842,0.000874842,0.000874842
50,281.362,0.84466,0.89392,1.02531,0.92994,0.9729,0.98418,0.76418,0.8427,0.65864,0.98515,0.000858338,0.000858338,0.000858338
51,286.653,0.81286,0.85834,0.93632,0.96424,0.99922,0.98679,0.77061,0.81888,0.62956,0.9829,0.000841835,0.000841835,0.000841835
52,291.587,0.70132,0.78263,0.87538,0.95747,0.99852,0.97857,0.782,0.81516,0.63933,0.97237,0.000825332,0.000825332,0.000825332
53,298.306,0.74984,0.83329,0.91118,0.92997,0.99683,0.97264,0.78649,0.79673,0.64301,0.95695,0.000808828,0.000808828,0.000808828
54,303.099,0.72982,0.78752,0.90536,0.93789,0.96154,0.96895,0.79508,0.77397,0.63398,0.94666,0.000792325,0.000792325,0.000792325
55,310.307,0.78393,0.86772,0.95629,0.93268,0.96154,0.96127,0.77652,0.80709,0.66238,0.93317,0.000775822,0.000775822,0.000775822
56,316.333,0.71729,0.81448,0.90503,0.92858,0.95289,0.9632,0.75401,0.82706,0.68985,0.94336,0.000759318,0.000759318,0.000759318
57,321.314,0.79271,0.78551,0.97568,0.9047,0.87546,0.95441,0.75409,0.86371,0.781,0.99388,0.000742815,0.000742815,0.000742815
58,328.731,0.73923,0.76674,0.90808,0.91332,0.95184,0.95608,0.77829,0.85394,0.74911,1.01779,0.000726312,0.000726312,0.000726312
59,334.664,0.70154,0.70951,0.90142,0.93137,0.95387,0.96704,0.78761,0.80511,0.67811,0.9966,0.000709809,0.000709809,0.000709809
60,339.887,0.78966,0.80681,0.94145,0.94365,0.89939,0.96779,0.78096,0.79607,0.6584,0.9682,0.000693305,0.000693305,0.000693305
61,346.2,0.71692,0.71387,0.94872,0.96325,0.9295,0.96771,0.77386,0.78162,0.67556,0.95317,0.000676802,0.000676802,0.000676802
62,350.922,0.67006,0.70168,0.90887,0.86795,1,0.95856,0.7536,0.80408,0.65944,0.95756,0.000660299,0.000660299,0.000660299
63,356.844,0.78131,0.70919,0.94977,0.9326,0.8915,0.96209,0.7508,0.81574,0.68114,0.97953,0.000643795,0.000643795,0.000643795
64,362.864,0.72333,0.73203,0.90747,0.94167,0.9584,0.96775,0.77339,0.81627,0.65769,0.97218,0.000627292,0.000627292,0.000627292
65,367.602,0.67855,0.72379,0.94191,0.9402,0.95769,0.96907,0.76731,0.7923,0.64017,0.96112,0.000610789,0.000610789,0.000610789
66,374.176,0.79856,0.82822,1.01228,0.9337,0.95681,0.96895,0.77572,0.76778,0.59564,0.95141,0.000594286,0.000594286,0.000594286
67,379.121,0.61146,0.7057,0.88086,0.9556,0.95866,0.9822,0.7671,0.83377,0.61576,0.97449,0.000577782,0.000577782,0.000577782
68,384.018,0.90051,0.91828,1.06017,0.94621,0.95885,0.98061,0.76714,0.78411,0.58978,0.94399,0.000561279,0.000561279,0.000561279
69,390.78,0.71755,0.65887,0.94354,0.95375,0.96154,0.97792,0.79546,0.73685,0.5888,0.93537,0.000544776,0.000544776,0.000544776
70,395.79,0.66585,0.7274,0.85401,0.94987,0.96154,0.9822,0.78905,0.71828,0.58392,0.93275,0.000528272,0.000528272,0.000528272
71,401.024,0.6358,0.70498,0.89508,0.96017,0.95194,0.98395,0.78622,0.72074,0.58285,0.92984,0.000511769,0.000511769,0.000511769
72,407.237,0.68587,0.66968,0.95632,0.94571,0.96154,0.98369,0.81336,0.69311,0.57032,0.9085,0.000495266,0.000495266,0.000495266
73,412.294,0.64363,0.62106,0.93151,0.94263,0.96154,0.97967,0.80536,0.66202,0.55496,0.90298,0.000478762,0.000478762,0.000478762
74,418.234,0.57353,0.60149,0.86468,0.94568,0.96154,0.98275,0.81125,0.66076,0.56883,0.89507,0.000462259,0.000462259,0.000462259
75,423.378,0.5824,0.58001,0.87555,0.94443,0.96154,0.98068,0.80723,0.71284,0.57683,0.91863,0.000445756,0.000445756,0.000445756
76,428.987,0.71683,0.66451,0.97437,0.91496,0.95703,0.97779,0.80932,0.72083,0.56137,0.92411,0.000429253,0.000429253,0.000429253
77,435.063,0.61959,0.62539,0.88609,0.93182,0.94836,0.97912,0.81407,0.69928,0.56656,0.91905,0.000412749,0.000412749,0.000412749
78,439.887,0.58219,0.58373,0.85515,0.93257,0.95166,0.97779,0.81438,0.69892,0.56086,0.91472,0.000396246,0.000396246,0.000396246
79,445.033,0.60228,0.62764,0.8955,0.93307,0.95517,0.98087,0.7964,0.69135,0.5657,0.91049,0.000379743,0.000379743,0.000379743
80,451.467,0.63739,0.59946,0.90951,0.89148,0.96154,0.97779,0.81602,0.64992,0.56973,0.89835,0.000363239,0.000363239,0.000363239
81,456.485,0.63918,0.62586,0.91429,0.87562,0.96154,0.97779,0.8309,0.65542,0.57016,0.90609,0.000346736,0.000346736,0.000346736
82,463.103,0.5867,0.60647,0.91624,0.9343,0.89573,0.98087,0.83601,0.66663,0.56633,0.91728,0.000330233,0.000330233,0.000330233
83,468.261,0.51229,0.52238,0.83179,0.93178,0.91858,0.98061,0.82361,0.66455,0.56313,0.92409,0.000313729,0.000313729,0.000313729
84,473.245,0.60251,0.57291,0.90212,0.93101,0.94679,0.97643,0.81523,0.67995,0.52808,0.93239,0.000297226,0.000297226,0.000297226
85,479.872,0.62206,0.59398,0.8704,0.93074,0.95618,0.97202,0.80232,0.68251,0.52456,0.9361,0.000280723,0.000280723,0.000280723
86,484.704,0.60587,0.58177,0.91,0.93599,0.95801,0.97335,0.81099,0.66733,0.50933,0.93442,0.00026422,0.00026422,0.00026422
87,489.772,0.5566,0.58104,0.84912,0.93345,0.96154,0.97335,0.80992,0.65293,0.52298,0.928,0.000247716,0.000247716,0.000247716
88,495.938,0.48705,0.50944,0.82825,0.93292,0.96154,0.97202,0.80753,0.63729,0.52797,0.91972,0.000231213,0.000231213,0.000231213
89,500.687,0.52553,0.52788,0.85208,0.93742,0.96154,0.97083,0.80728,0.64866,0.52941,0.9264,0.00021471,0.00021471,0.00021471
90,506.789,0.49706,0.49851,0.81873,0.93935,0.96154,0.97083,0.81721,0.65961,0.51927,0.93914,0.000198206,0.000198206,0.000198206
91,515.263,0.45724,0.52837,0.77743,0.94057,0.96154,0.97484,0.81132,0.66986,0.51883,0.94111,0.000181703,0.000181703,0.000181703
92,521.599,0.49634,0.53754,0.79973,0.94069,0.9607,0.97176,0.80456,0.69812,0.54566,0.94231,0.0001652,0.0001652,0.0001652
93,526.678,0.51056,0.54219,0.85824,0.92625,0.95371,0.97176,0.80551,0.71752,0.55506,0.94234,0.000148696,0.000148696,0.000148696
94,531.728,0.45796,0.51462,0.77434,0.92809,0.99105,0.97533,0.78712,0.73343,0.56424,0.93964,0.000132193,0.000132193,0.000132193
95,537.853,0.47831,0.58078,0.8779,0.8915,0.99135,0.97344,0.79652,0.74376,0.57173,0.95204,0.00011569,0.00011569,0.00011569
96,542.388,0.47862,0.51698,0.86368,0.89089,0.99283,0.97651,0.78958,0.74074,0.55638,0.95773,9.91865e-05,9.91865e-05,9.91865e-05
97,546.874,0.4474,0.47208,0.79948,0.88636,0.9963,0.97959,0.80103,0.73261,0.53941,0.95453,8.26832e-05,8.26832e-05,8.26832e-05
98,553.21,0.43615,0.45876,0.79954,0.8846,1,0.97959,0.80349,0.71945,0.52305,0.94993,6.61799e-05,6.61799e-05,6.61799e-05
99,557.817,0.52145,0.90136,0.85077,0.88334,1,0.98228,0.81109,0.70894,0.52257,0.94881,4.96766e-05,4.96766e-05,4.96766e-05
100,563.259,0.46005,0.47909,0.83198,0.88169,1,0.98228,0.8112,0.6952,0.51106,0.94291,3.31733e-05,3.31733e-05,3.31733e-05
